"state","county","sex","total_arc_mean","total_arc_lb","total_arc_ub","daily_arc_mean","daily_arc_lb","daily_arc_ub"
"Alabama","Chambers County","Females",0.41,-1.33,2.11,-0.44,-2.34,1.39
"Alabama","Chambers County","Both",-0.05,-1.49,1.38,-0.85,-2.46,0.66
"Alabama","Cherokee County","Males",-0.93,-2.12,0.36,-1.72,-3.11,-0.22
"Alabama","Cherokee County","Females",-0.93,-2.53,0.87,-1.87,-3.69,0.19
"Alabama","Cherokee County","Both",-0.93,-2.31,0.61,-1.79,-3.38,-0.05
"Alabama","Chilton County","Males",-0.98,-2.21,0.25,-1.76,-3.15,-0.46
"Alabama","Chilton County","Females",0.22,-1.32,1.77,-0.43,-2.21,1.29
"Alabama","Chilton County","Both",-0.4,-1.76,0.96,-1.12,-2.67,0.35
"Alabama","Choctaw County","Males",-0.53,-1.81,0.85,-1.6,-3.09,-0.08
"Alabama","Choctaw County","Females",-0.15,-2.06,1.9,-0.69,-2.77,1.62
"Alabama","Choctaw County","Both",-0.37,-1.94,1.28,-1.23,-2.92,0.58
"Alabama","Clarke County","Males",-0.42,-1.6,0.79,-1.35,-2.81,0.16
"Alabama","Clarke County","Females",-0.5,-2.29,1.3,-0.94,-3,1.24
"Alabama","Clarke County","Both",-0.45,-1.88,1,-1.18,-2.85,0.59
"Alabama","Clay County","Males",-0.29,-1.49,1.02,-0.99,-2.39,0.39
"Alabama","Clay County","Females",0.44,-1.23,2.31,-0.08,-1.89,1.88
"Alabama","Clay County","Both",0.05,-1.35,1.61,-0.57,-2.16,1.02
"Alabama","Cleburne County","Males",-0.61,-1.84,0.63,-1.25,-2.65,0.15
"Alabama","Cleburne County","Females",0.14,-1.52,1.95,-0.41,-2.39,1.6
"Alabama","Cleburne County","Both",-0.25,-1.64,1.23,-0.85,-2.5,0.84
"Alabama","Coffee County","Males",-0.83,-2.13,0.46,-1.61,-3.06,-0.18
"Alabama","Coffee County","Females",-0.2,-1.88,1.63,-1.37,-3.29,0.72
"Alabama","Coffee County","Both",-0.55,-2,1,-1.5,-3.15,0.2
"Alabama","Colbert County","Males",-0.57,-1.85,0.55,-1.38,-2.84,-0.07
"Alabama","Colbert County","Females",-0.57,-2.25,0.97,-1.29,-3.14,0.52
"Alabama","Colbert County","Both",-0.57,-2.04,0.71,-1.34,-2.99,0.16
"Alabama","Conecuh County","Males",-0.19,-1.36,1.03,-1.06,-2.44,0.22
"Alabama","Conecuh County","Females",0.36,-1.35,2.21,-0.5,-2.56,1.34
"Alabama","Conecuh County","Both",0.05,-1.35,1.54,-0.83,-2.46,0.64
"Alabama","Coosa County","Males",-0.18,-1.4,1.12,-0.82,-2.21,0.62
"Alabama","Coosa County","Females",0.93,-0.81,2.82,0.51,-1.43,2.71
"Alabama","Coosa County","Both",0.32,-1.13,1.84,-0.23,-1.84,1.57
"Alabama","Covington County","Males",-0.18,-1.4,1.11,-0.97,-2.35,0.52
"Alabama","Covington County","Females",0.61,-1.05,2.38,-0.57,-2.5,1.43
"Alabama","Covington County","Both",0.18,-1.23,1.68,-0.79,-2.41,0.85
"Alabama","Crenshaw County","Males",-0.59,-1.86,0.71,-1.46,-2.93,0.13
"Alabama","Crenshaw County","Females",0.44,-1.34,2.34,-0.49,-2.5,1.63
"Alabama","Crenshaw County","Both",-0.13,-1.65,1.4,-1.02,-2.74,0.81
"Alabama","Cullman County","Males",-0.56,-1.85,0.7,-1.57,-3,-0.18
"Alabama","Cullman County","Females",-0.4,-2.07,1.26,-1.17,-2.94,0.65
"Alabama","Cullman County","Both",-0.49,-1.94,0.93,-1.38,-2.9,0.21
"Alabama","Dale County","Males",-1,-2.26,0.31,-1.58,-2.98,-0.13
"Alabama","Dale County","Females",-1.05,-2.68,0.68,-1.59,-3.49,0.47
"Alabama","Dale County","Both",-1.02,-2.45,0.47,-1.58,-3.18,0.12
"Alabama","Dallas County","Males",0.3,-1,1.48,-1,-2.49,0.46
"Alabama","Dallas County","Females",-0.81,-2.64,0.86,-0.93,-3.07,1.14
"Alabama","Dallas County","Both",-0.16,-1.7,1.25,-0.97,-2.71,0.73
"Alabama","DeKalb County","Males",-0.94,-2.13,0.25,-1.82,-3.28,-0.45
"Alabama","DeKalb County","Females",-0.32,-1.89,1.22,-1.18,-3.06,0.53
"Alabama","DeKalb County","Both",-0.64,-2,0.73,-1.52,-3.15,0.02
"Alabama","Elmore County","Males",-0.65,-1.97,0.71,-1.67,-3.15,-0.12
"Alabama","Elmore County","Females",0.65,-1.12,2.39,-0.04,-2.03,2
"Alabama","Elmore County","Both",-0.04,-1.58,1.48,-0.91,-2.61,0.73
"Alabama","Escambia County","Males",-0.58,-1.82,0.64,-1.47,-2.83,-0.02
"Alabama","Escambia County","Females",-0.42,-2.2,1.36,-1.03,-3.02,0.97
"Alabama","Escambia County","Both",-0.51,-1.99,0.93,-1.28,-2.91,0.4
"Alabama","Etowah County","Males",0.13,-1.02,1.26,-0.68,-1.99,0.56
"Alabama","Etowah County","Females",-1.16,-2.61,0.26,-1.71,-3.39,-0.11
"Alabama","Etowah County","Both",-0.47,-1.77,0.8,-1.16,-2.64,0.23
"Alabama","Fayette County","Males",-0.6,-1.81,0.66,-1.38,-2.88,0.05
"Alabama","Fayette County","Females",0.01,-1.66,1.76,-0.74,-2.66,1.21
"Alabama","Fayette County","Both",-0.32,-1.75,1.11,-1.08,-2.72,0.6
"Alabama","Franklin County","Males",-0.97,-2.29,0.18,-2,-3.43,-0.6
"Alabama","Franklin County","Females",-0.9,-2.67,0.64,-1.68,-3.67,0.24
"Alabama","Franklin County","Both",-0.94,-2.47,0.38,-1.85,-3.55,-0.3
"Alabama","Geneva County","Males",-0.66,-1.79,0.53,-1.37,-2.75,-0.07
"Alabama","Geneva County","Females",-0.44,-1.91,1.11,-1.02,-2.79,0.79
"Alabama","Geneva County","Both",-0.55,-1.84,0.8,-1.2,-2.76,0.28
"Alabama","Greene County","Males",0.34,-0.93,1.72,-0.85,-2.33,0.79
"Alabama","Greene County","Females",0.22,-1.82,2.35,-0.56,-2.81,1.85
"Alabama","Greene County","Both",0.29,-1.28,1.98,-0.74,-2.51,1.2
"Alabama","Hale County","Males",-0.24,-1.47,0.99,-1.4,-2.87,-0.01
"Alabama","Hale County","Females",-0.02,-1.85,1.79,-1.08,-3.16,1
"Alabama","Hale County","Both",-0.14,-1.62,1.3,-1.26,-2.96,0.36
"Alabama","Henry County","Males",-0.83,-2.09,0.44,-1.59,-3.08,-0.2
"Alabama","Henry County","Females",-1.13,-2.88,0.67,-1.79,-3.91,0.14
"Alabama","Henry County","Both",-0.96,-2.42,0.54,-1.68,-3.45,-0.05
"Alabama","Houston County","Males",-0.57,-1.72,0.59,-1.48,-2.78,-0.21
"Alabama","Houston County","Females",-0.61,-2.05,0.83,-0.95,-2.69,0.81
"Alabama","Houston County","Both",-0.59,-1.88,0.7,-1.24,-2.69,0.24
"Alabama","Jackson County","Males",-1.1,-2.43,0.1,-1.9,-3.3,-0.6
"Alabama","Jackson County","Females",-0.29,-1.96,1.27,-0.72,-2.45,0.93
"Alabama","Jackson County","Both",-0.7,-2.2,0.65,-1.32,-2.83,0.13
"Alabama","Jefferson County","Males",-1.06,-1.93,-0.16,-1.62,-2.72,-0.53
"Alabama","Jefferson County","Females",-0.89,-1.88,0.14,-1.5,-2.85,-0.21
"Alabama","Jefferson County","Both",-0.99,-1.91,-0.04,-1.57,-2.72,-0.43
"Alabama","Lamar County","Males",-0.43,-1.67,0.76,-1.47,-2.84,-0.11
"Alabama","Lamar County","Females",-0.69,-2.46,1.07,-1.04,-2.89,0.83
"Alabama","Lamar County","Both",-0.55,-2.01,0.89,-1.27,-2.84,0.27
"Alabama","Lauderdale County","Males",-0.77,-1.93,0.4,-1.58,-2.88,-0.19
"Alabama","Lauderdale County","Females",-0.84,-2.4,0.76,-1.82,-3.62,0.07
"Alabama","Lauderdale County","Both",-0.8,-2.14,0.55,-1.69,-3.21,-0.1
"Alabama","Lawrence County","Males",-0.79,-1.99,0.48,-1.88,-3.25,-0.44
"Alabama","Lawrence County","Females",-0.34,-2.08,1.46,-1.24,-3.17,0.82
"Alabama","Lawrence County","Both",-0.59,-2.04,0.91,-1.59,-3.19,0.1
"Alabama","Lee County","Males",-0.54,-1.73,0.77,-1.23,-2.68,0.1
"Alabama","Lee County","Females",-0.97,-2.61,0.79,-1.69,-3.61,0.21
"Alabama","Lee County","Both",-0.73,-2.12,0.77,-1.43,-3.06,0.1
"Alabama","Limestone County","Males",-1.17,-2.34,0.08,-2.3,-3.64,-0.9
"Alabama","Limestone County","Females",-1.1,-2.72,0.66,-1.98,-3.71,-0.13
"Alabama","Limestone County","Both",-1.14,-2.52,0.35,-2.15,-3.65,-0.55
"Alabama","Lowndes County","Males",-0.22,-1.56,1.11,-1.63,-3.14,-0.01
"Alabama","Lowndes County","Females",0.22,-1.72,2.23,-0.39,-2.68,2.01
"Alabama","Lowndes County","Both",-0.05,-1.64,1.53,-1.14,-2.89,0.73
"Alabama","Macon County","Males",0.29,-1.03,1.6,-0.82,-2.55,0.73
"Alabama","Macon County","Females",0.69,-1.41,2.77,-0.04,-2.49,2.16
"Alabama","Macon County","Both",0.44,-1.15,1.99,-0.52,-2.51,1.23
"Alabama","Madison County","Males",-1.25,-2.37,-0.11,-2.26,-3.6,-0.88
"Alabama","Madison County","Females",0,-1.25,1.36,-0.48,-2.05,1.15
"Alabama","Madison County","Both",-0.67,-1.87,0.52,-1.41,-2.8,0.04
"Alabama","Marengo County","Males",-0.94,-2.18,0.35,-2.3,-3.69,-0.96
"Alabama","Marengo County","Females",-1.67,-3.46,0.21,-2.49,-4.4,-0.35
"Alabama","Marengo County","Both",-1.25,-2.71,0.27,-2.38,-3.98,-0.76
"Alabama","Marion County","Males",-0.68,-1.87,0.5,-1.59,-2.92,-0.29
"Alabama","Marion County","Females",-0.87,-2.47,0.78,-1.59,-3.4,0.23
"Alabama","Marion County","Both",-0.76,-2.14,0.61,-1.59,-3.13,-0.07
"Alabama","Marshall County","Males",-0.91,-2.1,0.25,-1.61,-2.91,-0.26
"Alabama","Marshall County","Females",-0.48,-1.98,1.01,-0.89,-2.53,0.88
"Alabama","Marshall County","Both",-0.7,-2.02,0.61,-1.26,-2.7,0.27
"Alabama","Mobile County","Males",-0.06,-1,0.94,-1.04,-2.19,0.11
"Alabama","Mobile County","Females",-0.44,-1.5,0.71,-1.53,-2.84,-0.21
"Alabama","Mobile County","Both",-0.22,-1.22,0.81,-1.25,-2.46,-0.07
"Alabama","Monroe County","Males",-0.14,-1.37,1.05,-1.03,-2.45,0.36
"Alabama","Monroe County","Females",-0.32,-2.13,1.39,-0.43,-2.6,1.61
"Alabama","Monroe County","Both",-0.22,-1.69,1.18,-0.77,-2.48,0.83
"Alabama","Montgomery County","Males",-0.54,-1.68,0.61,-1.78,-3.18,-0.48
"Alabama","Montgomery County","Females",-0.18,-1.65,1.26,-1.13,-2.9,0.6
"Alabama","Montgomery County","Both",-0.39,-1.69,0.87,-1.5,-3.03,0
"Alabama","Morgan County","Males",-0.89,-2.02,0.36,-1.83,-3.16,-0.49
"Alabama","Morgan County","Females",-0.79,-2.28,0.89,-1.69,-3.43,0.07
"Alabama","Morgan County","Both",-0.84,-2.14,0.64,-1.76,-3.28,-0.24
"Alabama","Perry County","Males",-0.34,-1.7,1.07,-1.71,-3.37,-0.05
"Alabama","Perry County","Females",0.26,-1.77,2.39,-0.56,-2.98,1.89
"Alabama","Perry County","Both",-0.09,-1.73,1.6,-1.23,-3.18,0.69
"Alabama","Pickens County","Males",0.03,-1.22,1.28,-1.01,-2.55,0.38
"Alabama","Pickens County","Females",0.41,-1.39,2.19,-0.2,-2.36,1.87
"Alabama","Pickens County","Both",0.2,-1.3,1.69,-0.65,-2.5,1.02
"Alabama","Pike County","Males",-0.95,-2.17,0.45,-1.76,-3.06,-0.24
"Alabama","Pike County","Females",-0.63,-2.35,1.32,-1.34,-3.31,1.02
"Alabama","Pike County","Both",-0.81,-2.25,0.82,-1.57,-3.12,0.29
"Alabama","Randolph County","Males",-0.44,-1.65,0.79,-1.14,-2.48,0.24
"Alabama","Randolph County","Females",0.37,-1.35,2.17,-0.05,-2.01,2.05
"Alabama","Randolph County","Both",-0.08,-1.51,1.39,-0.66,-2.24,1.03
"Alabama","Russell County","Males",-0.51,-1.68,0.74,-1.33,-2.74,0.11
"Alabama","Russell County","Females",-0.71,-2.4,1.16,-1.66,-3.58,0.45
"Alabama","Russell County","Both",-0.59,-1.99,0.94,-1.47,-3.08,0.31
"Alabama","St. Clair County","Males",-0.71,-1.84,0.49,-1.33,-2.58,0.07
"Alabama","St. Clair County","Females",-1.06,-2.52,0.52,-1.77,-3.43,0.12
"Alabama","St. Clair County","Both",-0.87,-2.16,0.5,-1.53,-2.91,0.1
"Alabama","Shelby County","Males",-1.23,-2.52,0.02,-1.96,-3.37,-0.44
"Alabama","Shelby County","Females",-1.6,-3.16,-0.07,-1.88,-3.65,0.09
"Alabama","Shelby County","Both",-1.41,-2.83,-0.02,-1.93,-3.49,-0.24
"Alabama","Sumter County","Males",-0.21,-1.52,1.1,-1.66,-3.27,-0.15
"Alabama","Sumter County","Females",0.09,-1.86,2.15,-1.02,-3.31,1.18
"Alabama","Sumter County","Both",-0.09,-1.63,1.48,-1.41,-3.27,0.38
"Alabama","Talladega County","Males",-0.51,-1.72,0.68,-1.3,-2.64,-0.01
"Alabama","Talladega County","Females",-0.8,-2.31,0.71,-1.43,-3.12,0.28
"Alabama","Talladega County","Both",-0.64,-1.99,0.7,-1.36,-2.85,0.12
"Alabama","Tallapoosa County","Males",-0.47,-1.59,0.72,-1.37,-2.72,-0.05
"Alabama","Tallapoosa County","Females",0.35,-1.2,2,-0.16,-2.01,1.76
"Alabama","Tallapoosa County","Both",-0.1,-1.42,1.28,-0.83,-2.41,0.72
"Alabama","Tuscaloosa County","Males",-0.14,-1.17,0.99,-0.98,-2.15,0.29
"Alabama","Tuscaloosa County","Females",-0.63,-1.9,0.74,-1.53,-3.08,0.05
"Alabama","Tuscaloosa County","Both",-0.36,-1.49,0.88,-1.23,-2.51,0.13
"Alabama","Walker County","Males",-0.51,-1.63,0.65,-1.26,-2.52,0.01
"Alabama","Walker County","Females",0.08,-1.29,1.55,-0.82,-2.4,0.9
"Alabama","Walker County","Both",-0.23,-1.48,1.07,-1.06,-2.43,0.38
"Alabama","Washington County","Males",-0.49,-1.76,0.83,-1.24,-2.7,0.12
"Alabama","Washington County","Females",-0.59,-2.35,1.33,-1.03,-3.06,1.01
"Alabama","Washington County","Both",-0.53,-2,1.07,-1.14,-2.81,0.47
"Alabama","Wilcox County","Males",-0.04,-1.32,1.25,-1.32,-2.8,0.34
"Alabama","Wilcox County","Females",0.11,-1.91,2.16,-0.44,-2.66,2.18
"Alabama","Wilcox County","Both",0.02,-1.56,1.59,-0.97,-2.71,1.01
"Alabama","Winston County","Males",-0.4,-1.63,0.81,-1.48,-2.85,-0.14
"Alabama","Winston County","Females",-0.43,-2.24,1.29,-1.21,-2.97,0.72
"Alabama","Winston County","Both",-0.41,-1.9,1.02,-1.36,-2.9,0.22
"Alaska","","Males",-1.28,-1.71,-0.83,-2.14,-2.61,-1.67
"Alaska","","Females",-1.06,-1.55,-0.54,-1.94,-2.53,-1.36
"Alaska","","Both",-1.18,-1.63,-0.69,-2.05,-2.55,-1.54
"Alaska","Aleutians East Borough","Males",-1.63,-3.03,-0.25,-2.96,-4.77,-1.38
"Alaska","Aleutians East Borough","Females",-1.72,-3.57,0.09,-3.08,-5.45,-1.01
"Alaska","Aleutians East Borough","Both",-1.67,-3.29,-0.1,-3.02,-5.09,-1.14
"Alaska","Aleutians West Census Area","Males",-1.32,-2.58,-0.16,-2.68,-4.2,-1.31
"Alaska","Aleutians West Census Area","Females",-0.91,-2.63,0.72,-1.69,-3.69,0.19
"Alaska","Aleutians West Census Area","Both",-1.13,-2.6,0.24,-2.21,-3.95,-0.64
"Alaska","Anchorage Municipality","Males",-1.84,-2.73,-0.87,-2.75,-3.82,-1.69
"Alaska","Anchorage Municipality","Females",-1.22,-2.19,-0.11,-2.3,-3.56,-1.07
"Alaska","Anchorage Municipality","Both",-1.55,-2.47,-0.51,-2.53,-3.63,-1.41
"Alaska","Bethel Census Area","Males",-0.03,-1.17,1.2,-0.96,-2.39,0.45
"Alaska","Bethel Census Area","Females",0.61,-0.93,2.21,0.11,-1.71,1.96
"Alaska","Bethel Census Area","Both",0.25,-1.06,1.62,-0.48,-2.08,1.11
"Alaska","Bristol Bay Borough","Males",-0.28,-1.62,1.09,-0.87,-2.36,0.65
"Alaska","Bristol Bay Borough","Females",0.29,-1.47,2.23,-0.27,-2.36,1.9
"Alaska","Bristol Bay Borough","Both",0,-1.55,1.63,-0.58,-2.32,1.19
"Alaska","Denali Borough/Yukon-Koyukuk Census Area","Males",-0.6,-1.77,0.53,-1.23,-2.59,0.17
"Alaska","Denali Borough/Yukon-Koyukuk Census Area","Females",0.23,-1.17,1.64,-0.51,-2.24,1.25
"Alaska","Denali Borough/Yukon-Koyukuk Census Area","Both",-0.21,-1.48,1.04,-0.89,-2.4,0.67
"Alaska","Dillingham Census Area","Males",-0.01,-1.33,1.2,-0.73,-2.38,0.77
"Alaska","Dillingham Census Area","Females",0.28,-1.44,1.89,-0.46,-2.53,1.47
"Alaska","Dillingham Census Area","Both",0.13,-1.37,1.51,-0.61,-2.43,1.06
"Alaska","Fairbanks North Star Borough","Males",-0.99,-1.91,-0.03,-1.92,-3.07,-0.87
"Alaska","Fairbanks North Star Borough","Females",-1.49,-2.56,-0.33,-2.69,-4.06,-1.29
"Alaska","Fairbanks North Star Borough","Both",-1.22,-2.21,-0.16,-2.28,-3.53,-1.14
"Alaska","Haines Borough","Males",-1.49,-2.88,-0.11,-2.63,-4.15,-1.04
"Alaska","Haines Borough","Females",-1.98,-3.93,-0.05,-2.81,-4.9,-0.66
"Alaska","Haines Borough","Both",-1.71,-3.35,-0.13,-2.71,-4.43,-0.92
"Alaska","Juneau City and Borough","Males",-1.03,-2.16,0.18,-2.14,-3.46,-0.85
"Alaska","Juneau City and Borough","Females",-1,-2.4,0.46,-1.4,-3.14,0.32
"Alaska","Juneau City and Borough","Both",-1.02,-2.26,0.31,-1.8,-3.24,-0.32
"Alaska","Kenai Peninsula Borough","Males",-1.38,-2.39,-0.48,-2.43,-3.57,-1.34
"Alaska","Kenai Peninsula Borough","Females",-0.89,-1.99,0.07,-1.41,-2.62,-0.15
"Alaska","Kenai Peninsula Borough","Both",-1.15,-2.2,-0.22,-1.93,-3.09,-0.78
"Alaska","Kodiak Island Borough","Males",-1.48,-2.71,-0.25,-2.72,-4.09,-1.31
"Alaska","Kodiak Island Borough","Females",-1.19,-2.81,0.4,-1.84,-3.67,0.05
"Alaska","Kodiak Island Borough","Both",-1.35,-2.76,0.06,-2.31,-3.81,-0.66
"Alaska","Lake and Peninsula Borough","Males",-0.9,-2.25,0.4,-1.88,-3.38,-0.23
"Alaska","Lake and Peninsula Borough","Females",-0.38,-2.12,1.36,-1.36,-3.33,0.78
"Alaska","Lake and Peninsula Borough","Both",-0.66,-2.16,0.85,-1.63,-3.35,0.2
"Alaska","Matanuska-Susitna Borough","Males",-0.79,-1.74,0.24,-1.45,-2.62,-0.32
"Alaska","Matanuska-Susitna Borough","Females",-1.04,-2.21,0.29,-1.61,-3.14,-0.06
"Alaska","Matanuska-Susitna Borough","Both",-0.91,-1.96,0.25,-1.52,-2.83,-0.19
"Alaska","Nome Census Area","Males",-0.47,-1.69,0.55,-1.14,-2.53,0.19
"Alaska","Nome Census Area","Females",0.13,-1.41,1.46,-0.44,-2.28,1.22
"Alaska","Nome Census Area","Both",-0.19,-1.54,0.98,-0.8,-2.38,0.64
"Alaska","North Slope Borough","Males",-1.42,-2.55,-0.26,-1.6,-3.08,-0.19
"Alaska","North Slope Borough","Females",0.22,-1.19,1.67,-0.24,-2.04,1.51
"Alaska","North Slope Borough","Both",-0.59,-1.85,0.7,-0.92,-2.53,0.61
"Alaska","Northwest Arctic Borough","Males",-0.16,-1.48,0.99,-0.63,-2.13,0.83
"Alaska","Northwest Arctic Borough","Females",0.67,-0.94,2.09,0.55,-1.27,2.41
"Alaska","Northwest Arctic Borough","Both",0.25,-1.22,1.51,-0.06,-1.73,1.54
"Alaska","Sitka City and Borough","Males",-1.56,-2.92,-0.11,-2.49,-4.15,-0.87
"Alaska","Sitka City and Borough","Females",-2.09,-3.81,-0.3,-2.85,-4.91,-0.7
"Alaska","Sitka City and Borough","Both",-1.82,-3.35,-0.21,-2.67,-4.52,-0.77
"Alaska","Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough","Males",-1.65,-2.96,-0.3,-2.8,-4.27,-1.19
"Alaska","Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough","Females",-1.38,-3.07,0.44,-2.2,-4.17,0
"Alaska","Hoonah-Angoon Census Area/Skagway Municipality/Yakutat City and Borough","Both",-1.52,-3,0.05,-2.51,-4.19,-0.6
"Alaska","Southeast Fairbanks Census Area","Males",-1.21,-2.51,0.08,-2.05,-3.56,-0.59
"Alaska","Southeast Fairbanks Census Area","Females",-1.38,-3.03,0.26,-2.11,-4.12,-0.15
"Alaska","Southeast Fairbanks Census Area","Both",-1.29,-2.77,0.16,-2.08,-3.8,-0.47
"Alaska","Valdez-Cordova Census Area","Males",-0.81,-2.09,0.38,-1.82,-3.25,-0.38
"Alaska","Valdez-Cordova Census Area","Females",-1.41,-3,0.08,-2.06,-3.92,-0.22
"Alaska","Valdez-Cordova Census Area","Both",-1.1,-2.55,0.23,-1.94,-3.57,-0.37
"Alaska","Wade Hampton Census Area","Males",-0.05,-1.3,1.13,-0.77,-2.51,0.85
"Alaska","Wade Hampton Census Area","Females",1.1,-0.5,2.65,0.36,-1.75,2.35
"Alaska","Wade Hampton Census Area","Both",0.47,-0.9,1.79,-0.24,-2.19,1.49
"Alaska","Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough","Males",-1.5,-2.48,-0.38,-2.39,-3.61,-1.13
"Alaska","Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough","Females",-1.82,-2.92,-0.62,-3.03,-4.43,-1.58
"Alaska","Ketchikan Gateway Borough/Petersburg Census Area/Prince of Wales-Hyder Census Area/Wrangell City and Borough","Both",-1.66,-2.71,-0.48,-2.72,-4.01,-1.38
"Arizona","","Males",-0.89,-1.42,-0.39,-2.65,-3.24,-2.09
"Arizona","","Females",-0.82,-1.4,-0.25,-2.18,-2.83,-1.54
"Arizona","","Both",-0.86,-1.41,-0.34,-2.44,-3.05,-1.84
"Arizona","Apache County","Males",0.06,-1.33,1.37,-0.82,-2.33,0.71
"Arizona","Apache County","Females",-0.67,-2.52,1.12,-1.44,-3.46,0.69
"Arizona","Apache County","Both",-0.25,-1.84,1.26,-1.08,-2.82,0.72
"Arizona","Cochise County","Males",-0.47,-1.65,0.8,-1.64,-2.96,-0.24
"Arizona","Cochise County","Females",-0.17,-1.71,1.45,-1.64,-3.41,0.34
"Arizona","Cochise County","Both",-0.33,-1.67,1.07,-1.64,-3.11,-0.05
"Arizona","Coconino County","Males",-0.18,-1.29,0.93,-1.56,-3,-0.24
"Arizona","Coconino County","Females",-0.13,-1.49,1.24,-1.62,-3.32,0.04
"Arizona","Coconino County","Both",-0.16,-1.37,1.07,-1.59,-3.1,-0.15
"Arizona","Gila County","Males",0.03,-1.17,1.21,-1.37,-2.67,0.03
"Arizona","Gila County","Females",0.04,-1.5,1.62,-1.05,-2.82,0.74
"Arizona","Gila County","Both",0.04,-1.3,1.39,-1.22,-2.73,0.3
"Arizona","Graham County","Males",-0.72,-1.97,0.55,-1.67,-3.09,-0.18
"Arizona","Graham County","Females",-0.53,-2.22,1.28,-1.55,-3.5,0.6
"Arizona","Graham County","Both",-0.64,-2.09,0.84,-1.62,-3.27,0.11
"Arizona","Greenlee County","Males",-1.21,-2.54,0.07,-1.96,-3.42,-0.52
"Arizona","Greenlee County","Females",0.1,-1.77,1.96,-0.88,-2.97,1.25
"Arizona","Greenlee County","Both",-0.64,-2.19,0.85,-1.51,-3.21,0.17
"Arizona","La Paz County","Males",-0.43,-1.61,0.78,-1.93,-3.31,-0.68
"Arizona","La Paz County","Females",0.24,-1.26,1.86,-1.26,-3.1,0.44
"Arizona","La Paz County","Both",-0.12,-1.4,1.27,-1.61,-3.22,-0.13
"Arizona","Maricopa County","Males",-0.96,-1.77,-0.18,-2.96,-3.91,-1.99
"Arizona","Maricopa County","Females",-1.03,-1.94,-0.13,-2.44,-3.47,-1.42
"Arizona","Maricopa County","Both",-0.99,-1.84,-0.16,-2.73,-3.71,-1.77
"Arizona","Mohave County","Males",-1.12,-2.17,-0.08,-2.32,-3.42,-1.21
"Arizona","Mohave County","Females",-0.13,-1.24,1.07,-1.51,-2.74,-0.2
"Arizona","Mohave County","Both",-0.63,-1.69,0.48,-1.9,-3.07,-0.75
